cod_departamento,departamento,ipm,si_ac_fu_ag,bsp_cpi,analfabetismo,ba_ac_se_sa,sin_ale_sal,hacinamiento_critico,ina_eli_exc,inasistencia_escolar,baj_log_edu,ma_in_pa_ex,mat_ina_pis,rezago_escolar,trabajo_infantil,anio,cod_municipio,municipio,clase
"41","HUILA","30,6","2,5","2,4","10,2","3,3","15,7","14,8","9,3","5,4","60","2,3","4,4","14,8","2,9","2021","41006","ACEVEDO","Cabecera municipal",
"41","HUILA","41,5","2","1,2","17,5","12,3","15,3","10,8","3,4","4,3","65,4","6,3","7,7","20,6","2,4","2021","41013","AGRADO","Cabecera municipal",
"41","HUILA","29,5","3,6","1,6","15,3","8,2","12,9","15,4","5,8","2,7","57,1","4","6,4","18","0,8","2021","41016","AIPE","Cabecera municipal",
"41","HUILA","35,3","4,5","1,6","16","4,2","14,8","13,9","7,4","5,9","68","2,3","10,3","20,9","3,2","2021","41020","ALGECIRAS","Cabecera municipal",
"41","HUILA","22,8","0,7","1","9,8","3,2","13,9","10,8","2,5","2","53,9","1,1","3,6","11,9","0,6","2021","41026","ALTAMIRA","Cabecera municipal",
"41","HUILA","37,2","0,4","1,1","19,1","0,4","14,2","11,7","2,1","3,1","65,8","1,9","6,2","14,5","0,6","2021","41078","BARAYA","Cabecera municipal",
"41","HUILA","27,2","5,2","1,3","14,7","8,8","11,7","15","6,6","3,6","61,1","1","6,1","15,9","1,5","2021","41132","CAMPOALEGRE","Cabecera municipal",
"41","HUILA","34,2","0,4","0,6","18,4","3,7","11,9","9,6","2","2,3","62,9","1,3","5,2","19,7","2,2","2021","41206","COLOMBIA","Cabecera municipal",
"41","HUILA","21,3","0,5","0,7","10","0,9","12,9","8,1","0,9","1,1","58,6","2,5","1,6","13,1","0,7","2021","41244","ELIAS","Cabecera municipal",
"41","HUILA","22,8","2,7","1,6","7,8","5,6","15,7","8,5","4,8","3,4","48,6","2,4","4","15,7","1,2","2021","41298","GARZON","Cabecera municipal",
"41","HUILA","25,4","2,2","1,4","10,2","5,6","17,2","9,8","4,7","2,3","54","1,7","3,3","16,8","1,1","2021","41306","GIGANTE","Cabecera municipal",
"41","HUILA","26,4","0,7","2,2","9,1","5,2","14,3","11,4","1,3","3,7","58,6","6,9","8,4","16,1","1,6","2021","41319","GUADALUPE","Cabecera municipal",
"41","HUILA","31","3,8","1,9","12","9","16,2","14,8","4,6","4,9","67,5","3,8","7,7","16,5","2,7","2021","41349","HOBO","Cabecera municipal",
"41","HUILA","38,2","0,8","1","13,6","3,8","14","12,9","1,8","3,1","62,9","9,9","4,8","19,3","0,8","2021","41357","IQUIRA","Cabecera municipal",
"41","HUILA","27,3","1,7","0,8","9,4","8,4","13,2","12,9","11,6","4","55","8,6","5","16,5","2,9","2021","41359","ISNOS","Cabecera municipal",
"41","HUILA","30,9","2,8","1","9,8","9,3","11,7","14","10,7","3,7","59,9","2,1","7,5","17,7","2,8","2021","41378","LA ARGENTINA","Cabecera municipal",
"41","HUILA","24,2","1,8","1,5","8,5","5,9","15,9","12,6","4,3","2,5","48,2","1,2","5,2","15,5","1,2","2021","41396","LA PLATA","Cabecera municipal",
"41","HUILA","33,8","2,2","2,2","12,1","20,7","15,8","11,8","3,1","4","62,5","0,6","5,8","21,1","3,1","2021","41483","NATAGA","Cabecera municipal",
"41","HUILA","30,1","1","1,1","11,4","8,3","13,7","12,3","7,7","2,6","60,7","0,4","2,7","16,3","2,6","2021","41503","OPORAPA","Cabecera municipal",
"41","HUILA","19","0,4","1,3","8,8","4,8","16,8","8,5","1,7","1,9","51,8","1","2,4","12,9","0,9","2021","41518","PAICOL","Cabecera municipal",
"41","HUILA","29,6","2","1,6","12,2","7,9","16,5","12,4","4,2","3,4","58","1,9","6,8","20,1","0,8","2021","41524","PALERMO","Cabecera municipal",
"41","HUILA","27,1","0,4","1,1","12,3","4,5","12,3","14,7","1,8","5,1","54,1","3,1","5,1","18,9","2,2","2021","41530","PALESTINA","Cabecera municipal",
"41","HUILA","24,8","2,3","2,1","9,3","3,1","16,6","9,5","3,5","2,8","58,5","0,9","4","13,5","1,5","2021","41548","PITAL","Cabecera municipal",
"41","HUILA","23,6","1,5","2,2","7,1","6,7","19,1","8,9","2,6","3,8","47,5","1,5","1,5","18,5","1,8","2021","41551","PITALITO","Cabecera municipal",
