cod_departamento,departamento,hacinamiento,servicios,vivienda,personas_nbi,inasistencia,miseria,anio,cod_municipio,municipio,clase
"41","HUILA","12,75","15,38","20,32","48,67","7,52","20,53","2005","41530","PALESTINA","Resto",
"41","HUILA","9,23","21,35","26,72","53,77","5,78","23,85","2005","41548","PITAL","Resto",
"41","HUILA","17,06","12,44","24,18","52,52","14,76","26,44","2005","41551","PITALITO","Resto",
"41","HUILA","13,4","4,7","12,08","35,07","7,23","13,02","2005","41615","RIVERA","Resto",
"41","HUILA","9,13","6,73","14,98","54,52","14,36","19,45","2005","41660","SALADOBLANCO","Resto",
"41","HUILA","14,46","12,48","22,14","48,7","8,76","17,98","2005","41668","SAN AGUSTIN","Resto",
"41","HUILA","10,63","15,26","25,72","48,65","4,04","19,06","2005","41676","SANTA MARIA","Resto",
"41","HUILA","5,06","25,76","23,53","52","6,48","22,97","2005","41770","SUAZA","Resto",
"41","HUILA","6,97","15,35","17,13","44,43","6,69","15,72","2005","41791","TARQUI","Resto",
"41","HUILA","6,4","6,2","13,28","34,16","2,36","8,18","2005","41797","TESALIA","Resto",
"41","HUILA","11,49","20,51","35,43","59,91","6,85","25,64","2005","41799","TELLO","Resto",
"41","HUILA","10,71","18,69","23,63","47,74","7,31","19,93","2005","41801","TERUEL","Resto",
"41","HUILA","10,07","14,91","9,27","36,8","6,99","13,68","2005","41807","TIMANA","Resto",
"41","HUILA","11,41","12,76","19,39","45,65","7,08","16,49","2005","41872","VILLAVIEJA","Resto",
"41","HUILA","9,6","8,94","20,2","41,06","4,06","14,16","2005","41885","YAGUARA","Resto",
"41","HUILA","7,16","2,03","5,42","17,7","3,31","4,88","2005","41001","NEIVA","Total",
"41","HUILA","9,18","40,72","21,29","64,1","9,2","27,32","2005","41006","ACEVEDO","Total",
"41","HUILA","4,97","14,56","21,5","44,92","3,09","17,02","2005","41013","AGRADO","Total",
"41","HUILA","13,86","6,8","12,19","38,01","4,39","14,24","2005","41016","AIPE","Total",
"41","HUILA","13,44","12,79","28,32","49,2","5,41","19,34","2005","41020","ALGECIRAS","Total",
"41","HUILA","5,92","5,56","4,2","23,58","1,53","4,78","2005","41026","ALTAMIRA","Total",
"41","HUILA","100","100","100","100","100","100","2005","41078","BARAYA","Total",
